id,dob,name,nationality,height,weight,wins,fouls,goals,losses,red_card,total_pass,appearances,goal_assist,yellow_card,att_hd_goal,att_lf_goal,att_rf_goal,total_cross,hit_woodwork,interception,total_tackle,total_offside,total_clearance,big_chance_created,blocked_scoring_att,effective_head_clearance,error_lead_to_goal,accurate_long_balls,duel_won,duel_lost,aerial_won,won_tackle,aerial_lost,won_contest,ball_recovery,accurate_cross,total_through_ball,att_pen_goal,att_freekick_goal,big_chance_missed,total_scoring_att,ontarget_scoring_att,own_goals,clean_sheet,goals_conceded,last_man_tackle,clearance_off_line,saves,punches,goal_kicks,penalty_save,keeper_throws,good_high_claim,total_keeper_sweeper,stand_catch_dive_catch
3452,1990-11-26,Danny Welbeck,England,185cm,73kg,87,89,0.22,35,0,20.27,154,15,12,9,7,18,34,6,132,195,29,84,18,84,43,,,,,,,,,,,,0,0,35,307,38%,,,,,,,,,,,,,
5001,1994-12-01,Emre Can,Germany,184cm,82kg,29,68,0.03,16,1,51.97,60,0,11,0,0,2,26,1,102,158,5,121,8,13,61,3,191,366,287,87,85%,71,74,358,8%,8,0,0,0,47,36%,,,,,,,,,,,,,
4805,1985-08-20,Álvaro Negredo,Spain,186cm,86kg,23,32,0.26,8,0,18.13,39,5,1,3,6,1,20,2,3,15,18,31,8,13,26,,,,,,,,,,,,0,1,16,72,39%,,,,,,,,,,,,,
13194,1996-12-31,Jordan Lee,England,178cm,80kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,,,,,,0,0,0,0,0,,,,,,,,
4911,1992-11-05,Thibaut Courtois,Belgium,199cm,91kg,32,3,0,10,2,22.37,62,0,3,,,,,,,,,,,,,3,383,,,,,,,,,,,,,,,0,19,68,,,151,31,429,1,281,108,33,26
5514,1988-05-23,Angelo Ogbonna,Italy,191cm,86kg,13,22,0,8,0,35.03,32,0,5,0,0,0,3,0,63,49,0,176,0,2,96,1,90,138,77,67,80%,35,8,135,67%,0,,,,,,0,9,43,0,0,,,,,,,,
1717,1981-04-30,John O'Shea,Ireland,191cm,75kg,214,187,13,105,1,22.6,420,12,29,1,2,5,167,2,397,462,5,"1,328",8,18,540,2,588,980,651,402,76%,266,28,913,23%,16,,,,,,5,76,279,3,1,,,,,,,,
4401,1978-11-16,Gerhard Tremmel,Germany,190cm,86kg,7,0,0,15,0,15.14,29,0,0,,,,,,,,,,,,,2,94,,,,,,,,,,,,,,,0,4,40,,,92,24,234,0,131,32,3,10
8107,1996-04-06,Oliver McBurnie,England,,,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0%,,,,,,,,,,,,,
4788,1985-02-10,George Boyd,Scotland,186cm,79kg,17,65,0.1,37,0,16.64,72,4,9,1,5,1,141,2,77,173,23,76,6,29,49,0,35,335,383,63,71%,105,51,264,28%,4,0,0,3,81,30%,,,,,,,,,,,,,
3558,1984-09-09,Brad Guzan,United States,193cm,94kg,32,3,0,80,0,24.52,146,1,7,,,,,,,,,,,,,11,"1,211",,,,,,,,,,,,,,,0,27,242,,,441,80,"1,319",2,551,324,84,63
5375,1991-08-08,Joel Matip,Cameroon,195cm,90kg,4,3,0,0,0,54,5,0,1,0,0,0,1,1,5,6,0,26,0,1,14,0,18,16,11,6,83%,5,3,23,1%,0,,,,,,0,0,5,0,0,,,,,,,,
13867,1998-08-05,Sam Field,England,180cm,65kg,0,3,3,1,0,24,3,0,1,0,0,0,5,0,0,2,0,0,0,0,0,0,3,7,12,1,100%,3,1,22,40%,0,0,0,0,1,1%,,,,,,,,,,,,,
4818,1995-01-27,Harrison Reed,England,181cm,72kg,7,7,14,3,0,18.57,14,0,0,0,0,0,4,0,16,32,0,10,0,1,1,0,9,50,51,5,88%,17,1,29,4%,0,0,0,0,4,50%,,,,,,,,,,,,,
13957,1988-01-12,Papy Djilobodji,Senegal,193cm,82kg,0,6,0,4,0,35.2,5,0,1,0,0,0,0,0,21,9,1,45,0,0,22,1,19,41,15,22,44%,5,4,34,0%,0,,,,,,0,0,10,0,0,,,,,,,,
4040,1993-12-02,Benik Afobe,Congo,183cm,79kg,6,15,0.22,8,0,12.83,18,0,0,3,0,1,4,0,2,5,11,9,0,2,6,,,,,,,,,,,,0,0,4,14,36%,,,,,,,,,,,,,
